,review,references_count,references_contradicted_total,references_contradicted_avg,references_mentioned_total,references_mentioned_total_avg,references_supported_total,references_supported_avg,in_text_citations_to_references_total,in_text_citations_to_references_total_avg,citations_to_references_total,citations_to_references_total_avg,contradiction_percentage_avg,mentioning_percentage_avg,supporting_percentage_avg,contradiction_to_supporting_ratio_avg,contradiction_to_supporting_contradiction_ratio_avg,supporting_to_supporting_contradiction_ratio_avg,ratio,si
count,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00,10700891.00
mean,0.00,38.85,45.06,1.05,16687.68,392.03,384.04,8.36,17431.52,409.83,23265.90,582.69,0.05,0.92,0.09,0.55,0.49,0.93,0.20,0.89
std,0.00,35.17,93.78,2.67,31577.14,922.36,718.63,18.01,32590.30,946.84,47504.41,1783.83,0.05,0.05,0.05,0.22,0.20,0.06,0.27,0.08
min,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,0.01,0.00,0.00,0.00,0.12,0.00,0.02
25%,0.00,14.00,4.00,0.25,1216.00,68.18,39.00,2.36,1323.00,74.29,1872.00,103.41,0.02,0.91,0.06,0.38,0.34,0.90,0.09,0.85
50%,0.00,31.00,19.00,0.63,5552.00,167.46,165.00,5.27,5949.00,179.25,7694.00,229.57,0.04,0.93,0.07,0.51,0.45,0.94,0.13,0.90
75%,0.00,54.00,53.00,1.26,17818.00,392.42,453.00,10.00,18827.00,414.42,23296.00,525.10,0.06,0.95,0.10,0.67,0.60,0.97,0.22,0.94
max,0.00,3734.00,17912.00,319.00,3121755.00,97208.00,84054.00,1841.00,3149928.00,98858.00,6312944.00,225838.00,1.00,1.00,1.00,8.00,1.00,1.00,43.00,1.00
